"actnum","object_id","permx","poro","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,nan,nan,0,1160.6,4.5914e+05,7.3232e+06,2672.7
nan,0,nan,nan,0,1165.2,4.5914e+05,7.3232e+06,2673.2
nan,0,nan,nan,0,1170.2,4.5914e+05,7.3232e+06,2673.7
nan,0,nan,nan,0,1174.7,4.5914e+05,7.3232e+06,2674.2
nan,0,nan,nan,0,1179.7,4.5914e+05,7.3232e+06,2674.8
nan,0,nan,nan,0,1184.3,4.5914e+05,7.3232e+06,2675.3
nan,0,nan,nan,0,1189.3,4.5914e+05,7.3232e+06,2675.8
nan,0,nan,nan,0,1194.3,4.5914e+05,7.3232e+06,2676.3
nan,0,nan,nan,0,1198.9,4.5914e+05,7.3232e+06,2676.8
nan,0,nan,nan,0,1203.9,4.5914e+05,7.3232e+06,2677.3
nan,0,nan,nan,0,1208.4,4.5914e+05,7.3232e+06,2677.8
nan,0,nan,nan,0,1213.4,4.5914e+05,7.3232e+06,2678.3
nan,0,nan,nan,0,1218,4.5914e+05,7.3233e+06,2678.9
nan,0,nan,nan,0,1223,4.5914e+05,7.3233e+06,2679.4
nan,0,nan,nan,0,1228,4.5914e+05,7.3233e+06,2679.9
nan,0,nan,nan,0,1232.6,4.5914e+05,7.3233e+06,2680.4
nan,0,nan,nan,0,1237.6,4.5914e+05,7.3233e+06,2680.9
nan,0,nan,nan,0,1242.1,4.5914e+05,7.3233e+06,2681.4
nan,0,nan,nan,0,1247.1,4.5914e+05,7.3233e+06,2681.9
nan,0,nan,nan,0,1251.7,4.5914e+05,7.3233e+06,2682.5
nan,0,nan,nan,0,1256.7,4.5914e+05,7.3233e+06,2683
nan,0,nan,nan,0,1261.7,4.5914e+05,7.3233e+06,2683.5
nan,0,nan,nan,0,1266.2,4.5914e+05,7.3233e+06,2684
nan,0,nan,nan,0,1271.3,4.5914e+05,7.3233e+06,2684.5
nan,0,nan,nan,0,1275.8,4.5914e+05,7.3233e+06,2685
nan,0,nan,nan,0,1280.8,4.5914e+05,7.3233e+06,2685.5
nan,0,nan,nan,0,1285.9,4.5914e+05,7.3233e+06,2686.1
nan,0,nan,nan,0,1290.4,4.5914e+05,7.3233e+06,2686.6
nan,0,nan,nan,0,1295.4,4.5914e+05,7.3233e+06,2687.1
nan,0,nan,nan,0,1299.9,4.5914e+05,7.3233e+06,2687.6
nan,0,nan,nan,0,1305,4.5914e+05,7.3233e+06,2688.1
nan,0,nan,nan,0,1309.5,4.5914e+05,7.3233e+06,2688.6
nan,0,nan,nan,0,1314.5,4.5914e+05,7.3233e+06,2689.1
nan,0,nan,nan,0,1319.5,4.5914e+05,7.3234e+06,2689.6
nan,0,nan,nan,0,1324.1,4.5914e+05,7.3234e+06,2690.2
nan,0,nan,nan,0,1329.1,4.5914e+05,7.3234e+06,2690.7
nan,0,nan,nan,0,1333.6,4.5914e+05,7.3234e+06,2691.2
nan,0,nan,nan,0,1338.7,4.5914e+05,7.3234e+06,2691.7
nan,0,nan,nan,0,1343.2,4.5914e+05,7.3234e+06,2692.2
nan,0,nan,nan,0,1348.2,4.5914e+05,7.3234e+06,2692.7
nan,0,nan,nan,0,1353.2,4.5914e+05,7.3234e+06,2693.2
nan,0,nan,nan,0,1357.8,4.5914e+05,7.3234e+06,2693.8
nan,0,nan,nan,0,1362.8,4.5914e+05,7.3234e+06,2694.3
nan,0,nan,nan,0,1367.3,4.5914e+05,7.3234e+06,2694.8
nan,0,nan,nan,0,1372.4,4.5914e+05,7.3234e+06,2695.3
nan,0,nan,nan,0,1376.9,4.5914e+05,7.3234e+06,2695.8
nan,0,nan,nan,0,1381.9,4.5914e+05,7.3234e+06,2696.3
nan,0,nan,nan,0,1386.9,4.5914e+05,7.3234e+06,2696.8
nan,0,nan,nan,0,1391.5,4.5914e+05,7.3234e+06,2697.4
nan,0,nan,nan,0,1396.5,4.5914e+05,7.3234e+06,2697.9
nan,0,nan,nan,0,1401,4.5914e+05,7.3234e+06,2698.4
nan,0,nan,nan,0,1406,4.5914e+05,7.3234e+06,2698.9
nan,0,nan,nan,0,1410.6,4.5914e+05,7.3234e+06,2699.4
nan,0,nan,nan,0,1415.6,4.5914e+05,7.3234e+06,2699.9
nan,0,nan,nan,0,1420.6,4.5914e+05,7.3235e+06,2700.4
nan,0,nan,nan,0,1425.2,4.5914e+05,7.3235e+06,2700.9
nan,0,nan,nan,0,1430.2,4.5914e+05,7.3235e+06,2701.5
nan,0,nan,nan,0,1434.7,4.5914e+05,7.3235e+06,2702
nan,0,nan,nan,0,1439.7,4.5914e+05,7.3235e+06,2702.5
nan,0,nan,nan,0,1444.8,4.5914e+05,7.3235e+06,2703
nan,0,nan,nan,0,1449.3,4.5914e+05,7.3235e+06,2703.5
nan,0,nan,nan,0,1454.3,4.5914e+05,7.3235e+06,2704
nan,0,nan,nan,0,1458.8,4.5914e+05,7.3235e+06,2704.5
nan,0,nan,nan,0,1463.9,4.5914e+05,7.3235e+06,2705.1
nan,0,nan,nan,0,1468.4,4.5914e+05,7.3235e+06,2705.6
nan,0,nan,nan,0,1473.4,4.5914e+05,7.3235e+06,2706.1
nan,0,nan,nan,0,1478.5,4.5914e+05,7.3235e+06,2706.6
nan,0,nan,nan,0,1483,4.5914e+05,7.3235e+06,2707.1
nan,0,nan,nan,0,1488,4.5914e+05,7.3235e+06,2707.6
nan,0,nan,nan,0,1492.5,4.5914e+05,7.3235e+06,2708.1
nan,0,nan,nan,0,1497.6,4.5914e+05,7.3235e+06,2708.7
nan,0,nan,nan,0,1502.1,4.5914e+05,7.3235e+06,2709.2
nan,0,nan,nan,0,1507.1,4.5914e+05,7.3235e+06,2709.7
nan,0,nan,nan,0,1512.1,4.5914e+05,7.3235e+06,2710.2
nan,0,nan,nan,0,1516.7,4.5914e+05,7.3236e+06,2710.7
nan,0,nan,nan,0,1521.7,4.5914e+05,7.3236e+06,2711.2
nan,0,nan,nan,0,1526.2,4.5914e+05,7.3236e+06,2711.7
nan,0,nan,nan,0,1531.3,4.5914e+05,7.3236e+06,2712.2
nan,0,nan,nan,0,1535.8,4.5914e+05,7.3236e+06,2712.8
nan,0,nan,nan,0,1540.8,4.5914e+05,7.3236e+06,2713.3
nan,0,nan,nan,0,1545.8,4.5914e+05,7.3236e+06,2713.8
nan,0,nan,nan,0,1550.4,4.5914e+05,7.3236e+06,2714.3
nan,0,nan,nan,0,1555.4,4.5914e+05,7.3236e+06,2714.8
nan,0,nan,nan,0,1559.9,4.5914e+05,7.3236e+06,2715.3
nan,0,nan,nan,0,1565,4.5914e+05,7.3236e+06,2715.8
nan,0,nan,nan,0,1569.5,4.5914e+05,7.3236e+06,2716.4
nan,0,nan,nan,0,1574.5,4.5914e+05,7.3236e+06,2716.9
nan,0,nan,nan,0,1579.5,4.5914e+05,7.3236e+06,2717.4
nan,0,nan,nan,0,1584.1,4.5914e+05,7.3236e+06,2717.9
nan,0,nan,nan,0,1589.1,4.5914e+05,7.3236e+06,2718.4
nan,0,nan,nan,0,1593.6,4.5914e+05,7.3236e+06,2718.9
nan,0,nan,nan,0,1598.6,4.5914e+05,7.3236e+06,2719.4
nan,0,nan,nan,0,1603.2,4.5914e+05,7.3236e+06,2720
nan,0,nan,nan,0,1608.2,4.5914e+05,7.3236e+06,2720.5
nan,0,nan,nan,0,1613.2,4.5914e+05,7.3236e+06,2721
nan,0,nan,nan,0,1617.8,4.5914e+05,7.3237e+06,2721.5
nan,0,nan,nan,0,1622.8,4.5914e+05,7.3237e+06,2722
nan,0,nan,nan,0,1627.3,4.5914e+05,7.3237e+06,2722.5
nan,0,nan,nan,0,1632.3,4.5914e+05,7.3237e+06,2723
nan,0,nan,nan,0,1636.9,4.5914e+05,7.3237e+06,2723.6
nan,0,nan,nan,0,1641.9,4.5914e+05,7.3237e+06,2724.1
nan,0,nan,nan,0,1646.9,4.5914e+05,7.3237e+06,2724.6
nan,0,nan,nan,0,1651.5,4.5914e+05,7.3237e+06,2725.1
nan,0,nan,nan,0,1656.5,4.5914e+05,7.3237e+06,2725.6
nan,0,nan,nan,0,1661,4.5914e+05,7.3237e+06,2726.1
nan,0,nan,nan,0,1666,4.5914e+05,7.3237e+06,2726.6
nan,0,nan,nan,0,1671.1,4.5914e+05,7.3237e+06,2727.1
nan,0,nan,nan,0,1675.6,4.5914e+05,7.3237e+06,2727.7
nan,0,nan,nan,0,1680.6,4.5914e+05,7.3237e+06,2728.2
nan,0,nan,nan,0,1685.1,4.5914e+05,7.3237e+06,2728.7
nan,0,nan,nan,0,1690.2,4.5914e+05,7.3237e+06,2729.2
nan,0,nan,nan,0,1694.7,4.5914e+05,7.3237e+06,2729.7
